WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Pegula J.,Begu I.,3,37,5605,1258,7,5,4,6,6,4,2,1,Completed,1.36,3.2,1.37,3.35,1.38,3.35,1.35,3.15
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Kasatkina D.,Pera B.,8,38,3375,1249,6,3,7,6,,,2,0,Completed,1.44,2.75,1.47,2.84,1.49,2.84,1.45,2.74
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Bencic B.,Rogers S.,11,44,3035,1185,4,6,7,5,6,2,2,1,Completed,1.3,3.5,1.28,4.05,1.33,4.1,1.28,3.6
18,Charleston,Charleston Open,4/7/2023,WTA500,Outdoor,Clay,3rd Round,3,Keys M.,Linette M.,22,19,1707,1855,6,2,3,6,6,1,2,1,Completed,1.4,3,1.44,3,1.85,3.05,1.41,2.9
18,Charleston,Charleston Open,4/7/2023,WTA500,Outdoor,Clay,Quarterfinals,3,Jabeur O.,Kalinskaya A.,5,70,4866,813,6,0,4,1,,,1,0,Retired,1.44,2.75,1.52,2.73,1.53,2.8,1.47,2.64
18,Charleston,Charleston Open,4/7/2023,WTA500,Outdoor,Clay,Quarterfinals,3,Kasatkina D.,Keys M.,8,22,3375,1707,6,7,6,4,6,2,2,1,Completed,2.3,1.62,2.31,1.69,2.35,1.69,2.26,1.63
18,Charleston,Charleston Open,4/7/2023,WTA500,Outdoor,Clay,Quarterfinals,3,Bencic B.,Alexandrova E.,11,17,3035,2185,6,3,6,3,,,2,0,Completed,1.5,2.63,1.54,2.67,1.56,2.71,1.51,2.53
18,Charleston,Charleston Open,4/8/2023,WTA500,Outdoor,Clay,Quarterfinals,3,Pegula J.,Badosa P.,3,33,5605,1283,6,3,7,6,,,2,0,Completed,1.91,1.91,1.92,1.99,2,2,1.88,1.9
18,Charleston,Charleston Open,4/8/2023,WTA500,Outdoor,Clay,Semifinals,3,Jabeur O.,Kasatkina D.,5,8,4866,3375,7,5,7,5,,,2,0,Completed,1.53,2.5,1.58,2.55,1.58,2.55,1.54,2.45
18,Charleston,Charleston Open,4/9/2023,WTA500,Outdoor,Clay,Semifinals,3,Bencic B.,Pegula J.,11,3,3035,5605,7,5,7,6,,,2,0,Completed,1.8,2,1.93,1.98,1.93,2.1,1.81,1.98
18,Charleston,Charleston Open,4/9/2023,WTA500,Outdoor,Clay,The Final,3,Jabeur O.,Bencic B.,5,11,4866,3035,7,6,6,4,,,2,0,Completed,2,1.8,2.14,1.78,2.16,1.91,2.06,1.78
19,Stuttgart,Porsche Tennis Grand Prix,4/17/2023,WTA500,Indoor,Clay,1st Round,3,Zheng Q.,Parks A.,25,55,1675,978,6,4,6,4,,,2,0,Completed,1.17,5,1.2,5.03,1.2,5.05,1.18,4.66
19,Stuttgart,Porsche Tennis Grand Prix,4/17/2023,WTA500,Indoor,Clay,1st Round,3,Bucsa C.,Korpatsch T.,77,106,770,614,3,6,6,4,6,0,2,1,Completed,1.8,2,1.86,2.03,1.89,2.1,1.8,1.99
19,Stuttgart,Porsche Tennis Grand Prix,4/17/2023,WTA500,Indoor,Clay,1st Round,3,Vekic D.,Alexandrova E.,23,18,1707,2100,7,6,7,6,,,2,0,Completed,2.3,1.62,2.33,1.67,2.47,1.7,2.25,1.63
